"serial_no","climatic_z","agro_eco_z","terrain","anual_r_fmm","rice_variety","stage_of_maturity","soil_type","rice_ecosystem","topography","flooded_y_n","method_of_planting","is_the_farmer_aware_of_mg_before","rep_no","gall_count","infection_status","infection_status_bin"
"76","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat",1400,"At 362","Seedling","Clay","Rainfed lowland","Flat land","Yes","Direct seeded","No",1,0,"No","0"
"76","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat",1400,"At 362","Seedling","Clay","Rainfed lowland","Flat land","Yes","Direct seeded","No",2,0,"No","0"
"76","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat",1400,"At 362","Seedling","Clay","Rainfed lowland","Flat land","Yes","Direct seeded","No",3,0,"No","0"
"76","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat",1400,"At 362","Seedling","Clay","Rainfed lowland","Flat land","Yes","Direct seeded","No",4,0,"No","0"
"76","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat",1400,"At 362","Seedling","Clay","Rainfed lowland","Flat land","Yes","Direct seeded","No",5,0,"No","0"
"76","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat",1400,"At 362","Seedling","Clay","Rainfed lowland","Flat land","Yes","Direct seeded","No",6,0,"No","0"
"76","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat",1400,"At 362","Seedling","Clay","Rainfed lowland","Flat land","Yes","Direct seeded","No",7,0,"No","0"
"76","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat",1400,"At 362","Seedling","Clay","Rainfed lowland","Flat land","Yes","Direct seeded","No",8,2,"Yes","1"
"76","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat",1400,"At 362","Seedling","Clay","Rainfed lowland","Flat land","Yes","Direct seeded","No",9,0,"No","0"
"76","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat",1400,"At 362","Seedling","Clay","Rainfed lowland","Flat land","Yes","Direct seeded","No",10,10,"Yes","1"
"76","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat",1400,"At 362","Seedling","Clay","Rainfed lowland","Flat land","Yes","Direct seeded","No",11,0,"No","0"
"76","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat",1400,"At 362","Seedling","Clay","Rainfed lowland","Flat land","Yes","Direct seeded","No",12,0,"No","0"
"76","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat",1400,"At 362","Seedling","Clay","Rainfed lowland","Flat land","Yes","Direct seeded","No",13,0,"No","0"
"76","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat",1400,"At 362","Seedling","Clay","Rainfed lowland","Flat land","Yes","Direct seeded","No",14,2,"Yes","1"
"76","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat",1400,"At 362","Seedling","Clay","Rainfed lowland","Flat land","Yes","Direct seeded","No",15,1,"Yes","1"
"76","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat",1400,"At 362","Seedling","Clay","Rainfed lowland","Flat land","Yes","Direct seeded","No",16,0,"No","0"
"76","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat",1400,"At 362","Seedling","Clay","Rainfed lowland","Flat land","Yes","Direct seeded","No",17,0,"No","0"
"76","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat",1400,"At 362","Seedling","Clay","Rainfed lowland","Flat land","Yes","Direct seeded","No",18,3,"Yes","1"
"76","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat",1400,"At 362","Seedling","Clay","Rainfed lowland","Flat land","Yes","Direct seeded","No",19,0,"No","0"
"76","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat",1400,"At 362","Seedling","Clay","Rainfed lowland","Flat land","Yes","Direct seeded","No",20,0,"No","0"
"76","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat",1400,"At 362","Seedling","Clay","Rainfed lowland","Flat land","Yes","Direct seeded","No",21,0,"No","0"
"76","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat",1400,"At 362","Seedling","Clay","Rainfed lowland","Flat land","Yes","Direct seeded","No",22,0,"No","0"
"76","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat",1400,"At 362","Seedling","Clay","Rainfed lowland","Flat land","Yes","Direct seeded","No",23,0,"No","0"
"76","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat",1400,"At 362","Seedling","Clay","Rainfed lowland","Flat land","Yes","Direct seeded","No",24,0,"No","0"
"76","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat",1400,"At 362","Seedling","Clay","Rainfed lowland","Flat land","Yes","Direct seeded","No",25,0,"No","0"
"76","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat",1400,"At 362","Seedling","Clay","Rainfed lowland","Flat land","Yes","Direct seeded","No",26,0,"No","0"
"76","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat",1400,"At 362","Seedling","Clay","Rainfed lowland","Flat land","Yes","Direct seeded","No",27,0,"No","0"
"76","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat",1400,"At 362","Seedling","Clay","Rainfed lowland","Flat land","Yes","Direct seeded","No",28,0,"No","0"
"76","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat",1400,"At 362","Seedling","Clay","Rainfed lowland","Flat land","Yes","Direct seeded","No",29,0,"No","0"
"76","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat",1400,"At 362","Seedling","Clay","Rainfed lowland","Flat land","Yes","Direct seeded","No",30,0,"No","0"
"1","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat",1400,"At 362","Reproductive","Sand mixed clay","Rainfed lowland","Flat land","Yes","Direct seeded","Yes",1,5,"Yes","1"
"1","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat",1400,"At 362","Reproductive","Sand mixed clay","Rainfed lowland","Flat land","Yes","Direct seeded","Yes",2,0,"No","0"
"1","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat",1400,"At 362","Reproductive","Sand mixed clay","Rainfed lowland","Flat land","Yes","Direct seeded","Yes",3,0,"No","0"
"1","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat",1400,"At 362","Reproductive","Sand mixed clay","Rainfed lowland","Flat land","Yes","Direct seeded","Yes",4,0,"No","0"
"1","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat",1400,"At 362","Reproductive","Sand mixed clay","Rainfed lowland","Flat land","Yes","Direct seeded","Yes",5,0,"No","0"
