"serial_no","province","district","agro_eco_r","climatic_z","agro_eco_z","terrain","major_soil","anual_r_fmm","gps_location","x","y","season","rice_variety","date_of_maturity","age_das","stage_of_maturity","prediction_on_suseptibility_of_rice_variety","soil_type","rice_ecosystem","irrigation","topography","flooded_y_n","method_of_planting","is_the_farmer_aware_of_mg_before","rep_no","gall_count","terrain_adj","infection_status"
76,"Southern","Matara","IL1a","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat","RYP, soilswith strongly molted sub-soil, RYP,LHG,RBL & Regosol",1400,"6.0068420, 80.5174440",80.517444,6.006842,"Maha / Yala","At 362","110",14,"Seedling","Suseptible","Clay","Rainfed lowland","Rainfed","Flat land","Yes","Direct seeded","No",1,0,"Rolling, Undulating, Flat","No"
76,"Southern","Matara","IL1a","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat","RYP, soilswith strongly molted sub-soil, RYP,LHG,RBL & Regosol",1400,"6.0068420, 80.5174440",80.517444,6.006842,"Maha / Yala","At 362","110",14,"Seedling","Suseptible","Clay","Rainfed lowland","Rainfed","Flat land","Yes","Direct seeded","No",2,0,"Rolling, Undulating, Flat","No"
76,"Southern","Matara","IL1a","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat","RYP, soilswith strongly molted sub-soil, RYP,LHG,RBL & Regosol",1400,"6.0068420, 80.5174440",80.517444,6.006842,"Maha / Yala","At 362","110",14,"Seedling","Suseptible","Clay","Rainfed lowland","Rainfed","Flat land","Yes","Direct seeded","No",3,0,"Rolling, Undulating, Flat","No"
76,"Southern","Matara","IL1a","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat","RYP, soilswith strongly molted sub-soil, RYP,LHG,RBL & Regosol",1400,"6.0068420, 80.5174440",80.517444,6.006842,"Maha / Yala","At 362","110",14,"Seedling","Suseptible","Clay","Rainfed lowland","Rainfed","Flat land","Yes","Direct seeded","No",4,0,"Rolling, Undulating, Flat","No"
76,"Southern","Matara","IL1a","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat","RYP, soilswith strongly molted sub-soil, RYP,LHG,RBL & Regosol",1400,"6.0068420, 80.5174440",80.517444,6.006842,"Maha / Yala","At 362","110",14,"Seedling","Suseptible","Clay","Rainfed lowland","Rainfed","Flat land","Yes","Direct seeded","No",5,0,"Rolling, Undulating, Flat","No"
76,"Southern","Matara","IL1a","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat","RYP, soilswith strongly molted sub-soil, RYP,LHG,RBL & Regosol",1400,"6.0068420, 80.5174440",80.517444,6.006842,"Maha / Yala","At 362","110",14,"Seedling","Suseptible","Clay","Rainfed lowland","Rainfed","Flat land","Yes","Direct seeded","No",6,0,"Rolling, Undulating, Flat","No"
76,"Southern","Matara","IL1a","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat","RYP, soilswith strongly molted sub-soil, RYP,LHG,RBL & Regosol",1400,"6.0068420, 80.5174440",80.517444,6.006842,"Maha / Yala","At 362","110",14,"Seedling","Suseptible","Clay","Rainfed lowland","Rainfed","Flat land","Yes","Direct seeded","No",7,0,"Rolling, Undulating, Flat","No"
76,"Southern","Matara","IL1a","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat","RYP, soilswith strongly molted sub-soil, RYP,LHG,RBL & Regosol",1400,"6.0068420, 80.5174440",80.517444,6.006842,"Maha / Yala","At 362","110",14,"Seedling","Suseptible","Clay","Rainfed lowland","Rainfed","Flat land","Yes","Direct seeded","No",8,2,"Rolling, Undulating, Flat","Yes"
76,"Southern","Matara","IL1a","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat","RYP, soilswith strongly molted sub-soil, RYP,LHG,RBL & Regosol",1400,"6.0068420, 80.5174440",80.517444,6.006842,"Maha / Yala","At 362","110",14,"Seedling","Suseptible","Clay","Rainfed lowland","Rainfed","Flat land","Yes","Direct seeded","No",9,0,"Rolling, Undulating, Flat","No"
76,"Southern","Matara","IL1a","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat","RYP, soilswith strongly molted sub-soil, RYP,LHG,RBL & Regosol",1400,"6.0068420, 80.5174440",80.517444,6.006842,"Maha / Yala","At 362","110",14,"Seedling","Suseptible","Clay","Rainfed lowland","Rainfed","Flat land","Yes","Direct seeded","No",10,10,"Rolling, Undulating, Flat","Yes"
76,"Southern","Matara","IL1a","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat","RYP, soilswith strongly molted sub-soil, RYP,LHG,RBL & Regosol",1400,"6.0068420, 80.5174440",80.517444,6.006842,"Maha / Yala","At 362","110",14,"Seedling","Suseptible","Clay","Rainfed lowland","Rainfed","Flat land","Yes","Direct seeded","No",11,0,"Rolling, Undulating, Flat","No"
76,"Southern","Matara","IL1a","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat","RYP, soilswith strongly molted sub-soil, RYP,LHG,RBL & Regosol",1400,"6.0068420, 80.5174440",80.517444,6.006842,"Maha / Yala","At 362","110",14,"Seedling","Suseptible","Clay","Rainfed lowland","Rainfed","Flat land","Yes","Direct seeded","No",12,0,"Rolling, Undulating, Flat","No"
76,"Southern","Matara","IL1a","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat","RYP, soilswith strongly molted sub-soil, RYP,LHG,RBL & Regosol",1400,"6.0068420, 80.5174440",80.517444,6.006842,"Maha / Yala","At 362","110",14,"Seedling","Suseptible","Clay","Rainfed lowland","Rainfed","Flat land","Yes","Direct seeded","No",13,0,"Rolling, Undulating, Flat","No"
76,"Southern","Matara","IL1a","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat","RYP, soilswith strongly molted sub-soil, RYP,LHG,RBL & Regosol",1400,"6.0068420, 80.5174440",80.517444,6.006842,"Maha / Yala","At 362","110",14,"Seedling","Suseptible","Clay","Rainfed lowland","Rainfed","Flat land","Yes","Direct seeded","No",14,2,"Rolling, Undulating, Flat","Yes"
76,"Southern","Matara","IL1a","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat","RYP, soilswith strongly molted sub-soil, RYP,LHG,RBL & Regosol",1400,"6.0068420, 80.5174440",80.517444,6.006842,"Maha / Yala","At 362","110",14,"Seedling","Suseptible","Clay","Rainfed lowland","Rainfed","Flat land","Yes","Direct seeded","No",15,1,"Rolling, Undulating, Flat","Yes"
