"serial_no","province","district","agro_eco_r","climatic_z","agro_eco_z","terrain","major_soil","anual_r_fmm","gps_location","x","y","season","rice_variety","date_of_maturity","age_das","stage_of_maturity","prediction_on_suseptibility_of_rice_variety","soil_type","rice_ecosystem","irrigation","topography","flooded_y_n","method_of_planting","is_the_farmer_aware_of_mg_before","terrain_adj","infection_status","total_gall_count","infected_plant_count","total_plants","Disease_Incidence","Disease_Severity"
1,"Southern","Matara","IL1a","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat","RYP, soilswith strongly molted sub-soil, RYP,LHG,RBL & Regosol",1400,"6.0186066, 80.5020940",80.502094,6.0186066,"Maha","At 362","110",60,"Reproductive","Suseptible","Sand mixed clay","Rainfed lowland","Rainfed","Flat land","Yes","Direct seeded","Yes","Rolling, Undulating, Flat","Yes",172,12,30,40,5.73333333333333
2,"Southern","Matara","WL2a","WET ZONE","LOW COUNTRY","Rolling, Undulating, Flat","Red Yellow Podzolic, Reddish Brown Latosolic & Low Humic Gley soils",2400,"6.0383402, 80.5004911",80.5004911,6.0383402,"Maha","At 362","110",43,"Vegetative","Suseptible","Clay","Rainfed lowland","Rainfed","Flat land","No","Direct seeded","No","Rolling, Undulating, Flat","Yes",119,24,30,80,3.96666666666667
3,"Southern","Matara","WL2a","WET ZONE","LOW COUNTRY","Rolling, Undulating, Flat","Red Yellow Podzolic, Reddish Brown Latosolic & Low Humic Gley soils",2400,"6.0828524, 80.4680380",80.468038,6.0828524,"Maha","At 362","110",60,"Reproductive","Suseptible","Clay","Rainfed lowland","Rainfed","Flat land","No","Direct seeded","No","Rolling, Undulating, Flat","Yes",223,24,30,80,7.43333333333333
4,"Southern","Matara","WL2a","WET ZONE","LOW COUNTRY","Rolling, Undulating, Flat","Red Yellow Podzolic, Reddish Brown Latosolic & Low Humic Gley soils",2400,"6.0493301, 80.4421477",80.4421477,6.0493301,"Maha","At 362","110",45,"Vegetative","Suseptible","Clay","Rainfed lowland","Rainfed","Flat land","No","Direct seeded","No","Rolling, Undulating, Flat","Yes",462,19,30,63.3333333333333,15.4
5,"Southern","Galle","WL2a","WET ZONE","LOW COUNTRY","Rolling, Undulating, Flat","Red Yellow Podzolic, Reddish Brown Latosolic & Low Humic Gley soils",2400,"6.0357062, 80.3103724",80.3103724,6.0357062,"Maha","At 362","110",30,"Vegetative","Suseptible","Clay","Rainfed lowland","Rainfed","Lowland","Yes","Direct seeded","Yes","Rolling, Undulating, Flat","No",18,6,30,20,0.6
6,"Southern","Galle","WL2a","WET ZONE","LOW COUNTRY","Rolling, Undulating, Flat","Red Yellow Podzolic, Reddish Brown Latosolic & Low Humic Gley soils",2400,"6.0314027, 80.3078521",80.3078521,6.0314027,"Maha","At 362","110",30,"Vegetative","Suseptible","Sand mixed clay","Rainfed lowland","Rainfed","Lowland","Yes","Direct seeded","Yes","Rolling, Undulating, Flat","Yes",94,16,30,53.3333333333333,3.13333333333333
7,"Southern","Galle","WL2a","WET ZONE","LOW COUNTRY","Rolling, Undulating, Flat","Red Yellow Podzolic, Reddish Brown Latosolic & Low Humic Gley soils",2400,"6.0306172, 80.3092543",80.3092543,6.0306172,"Maha","Bw 367","105",30,"Vegetative","Suseptible","Sand mixed clay","Rainfed lowland","Rainfed","Lowland","Yes","Direct seeded","Yes","Rolling, Undulating, Flat","No",79,7,30,23.3333333333333,2.63333333333333
8,"Uva","Moneragala","DL1a","DRY ZONE","LOW COUNTRY","Rolling & Undulating","Reddish Brown Earth & Low Humic Gley Soils",1100,"6.6721315, 81.2634706",81.2634706,6.6721315,"Maha","At 362","105",60,"Reproductive","Suseptible","Sand mixed clay","Irrigated","Minor irrigation","Lowland","No","Direct seeded","Yes","Rolling & Undulating","Yes",105,14,30,46.6666666666667,3.5
9,"Uva","Moneragala","DL1a","DRY ZONE","LOW COUNTRY","Rolling & Undulating","Reddish Brown Earth & Low Humic Gley Soils",1100,"6.6726357, 81.2638860",81.263886,6.6726357,"Maha","Bg 352","105",60,"Reproductive","Suseptible","Sand mixed clay","Irrigated","Minor irrigation","Lowland","No","Direct seeded","Yes","Rolling & Undulating","Yes",691,29,30,96.6666666666667,23.0333333333333
10,"Uva","Moneragala","IL1c","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat","RBL, RBE, LHG, & IBL soils",1300,"6.7176436, 81.2486212",81.2486212,6.7176436,"Maha","At 362","110",70,"Reproductive","Suseptible","Clay","Irrigated","Major irrigation","Flat land","No","Direct seeded","Yes","Rolling, Undulating, Flat","Yes",357,29,30,96.6666666666667,11.9
11,"Uva","Moneragala","IL1c","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat","RBL, RBE, LHG, & IBL soils",1300,"6.7180282, 81.2484995",81.2484995,6.7180282,"Maha","Bg 94/1","105",70,"Reproductive","Suseptible","Clay","Irrigated","Major irrigation","Flat land","No","Direct seeded","No","Rolling, Undulating, Flat","No",0,0,30,0,0
12,"North Western","Kurunegala","IL1a","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat","RYP, soilswith strongly molted sub-soil, RYP,LHG,RBL & Regosol",1400,"7.5173440, 79.9992930",79.999293,7.517344,"Maha",NA,NA,67,"Reproductive",NA,"Clay","Irrigated","Koshena wewa","Flat land","Yes","Direct seeded","No","Rolling, Undulating, Flat","Yes",189,18,30,60,6.3
