Serial_No,Province,District,AGRO_ECO_R,CLIMATIC_Z,AGRO_ECO_Z,TERRAIN,MAJOR_SOIL,AnualRFmm,GPS_location,X,Y,Season,Rice_variety,Date_of_maturity,Age_DAS,"Stage of maturity (Seedling - 0 to 21 days after sowing (DAS), Vegetative Stage:22 to 59 days after sowing (DAS), Reproductive Stage:60 to 95 days after sowing (DAS), Ripening Stage:96 days after sowing (DAS) to 105",Prediction_on suseptibility of rice variety,Soil_Type,Rice_ecosystem,Irrigation,Topography,Flooded (Y/N),Method_of_planting,Is_the farmer_aware_of_Mg_before,total_gall_count,infected_plant_count,total_plants,Disease_Incidence,Disease_Severity
1,Southern,Matara,IL1a,INTERMEDIATE ZONE,LOW COUNTRY,"Rolling, Undulating, Flat","RYP, soilswith strongly molted sub-soil, RYP,LHG,RBL & Regosol",1400,"6.0186066, 80.5020940",80.502094,6.0186066,Maha,At 362,110,60,Reproductive,Suseptible,Sand mixed clay,Rainfed lowland,Rainfed,Flat land,Yes,Direct seeded,Yes,172,12,30,40,5.733333333
2,Southern,Matara,WL2a,WET ZONE,LOW COUNTRY,"Rolling, Undulating & flat","Red Yellow Podzolic, Reddish Brown Latosolic & Low Humic Gley soils",2400,"6.0383402, 80.5004911",80.5004911,6.0383402,Maha,At 362,110,43,Vegetative,Suseptible,Clay,Rainfed lowland,Rainfed,Flat land,No,Direct seeded,No,119,24,30,80,3.966666667
3,Southern,Matara,WL2a,WET ZONE,LOW COUNTRY,"Rolling, Undulating & flat","Red Yellow Podzolic, Reddish Brown Latosolic & Low Humic Gley soils",2400,"6.0828524, 80.4680380",80.468038,6.0828524,Maha,At 362,110,60,Reproductive,Suseptible,Clay,Rainfed lowland,Rainfed,Flat land,No,Direct seeded,No,223,24,30,80,7.433333333
4,Southern,Matara,WL2a,WET ZONE,LOW COUNTRY,"Rolling, Undulating & flat","Red Yellow Podzolic, Reddish Brown Latosolic & Low Humic Gley soils",2400,"6.0493301, 80.4421477",80.4421477,6.0493301,Maha,At 362,110,45,Vegetative,Suseptible,Clay,Rainfed lowland,Rainfed,Flat land,No,Direct seeded,No,462,19,30,63.33333333,15.4
5,Southern,Galle,WL2a,WET ZONE,LOW COUNTRY,"Rolling, Undulating & flat","Red Yellow Podzolic, Reddish Brown Latosolic & Low Humic Gley soils",2400,"6.0357062, 80.3103724",80.3103724,6.0357062,Maha,At 362,110,30,Vegetative,Suseptible,Clay,Rainfed lowland,Rainfed,Lowland,Yes,Direct seeded,Yes,18,6,30,20,0.6
6,Southern,Galle,WL2a,WET ZONE,LOW COUNTRY,"Rolling, Undulating & flat","Red Yellow Podzolic, Reddish Brown Latosolic & Low Humic Gley soils",2400,"6.0314027, 80.3078521",80.3078521,6.0314027,Maha,At 362,110,30,Vegetative,Suseptible,Sand mixed clay,Rainfed lowland,Rainfed,Lowland,Yes,Direct seeded,Yes,94,16,30,53.33333333,3.133333333
7,Southern,Galle,WL2a,WET ZONE,LOW COUNTRY,"Rolling, Undulating & flat","Red Yellow Podzolic, Reddish Brown Latosolic & Low Humic Gley soils",2400,"6.0306172, 80.3092543",80.3092543,6.0306172,Maha,Bw 367,105,30,Vegetative,Suseptible,Sand mixed clay,Rainfed lowland,Rainfed,Lowland,Yes,Direct seeded,Yes,79,7,30,23.33333333,2.633333333
8,Uva,Moneragala,DL1a,DRY ZONE,LOW COUNTRY,Rolling & Undulating,Reddish Brown Earth & Low Humic Gley Soils,1100,"6.6721315, 81.2634706",81.2634706,6.6721315,Maha,At 362,105,60,Reproductive,Suseptible,Sand mixed clay,Irrigated,Minor irrigation,Lowland,No,Direct seeded,Yes,105,14,30,46.66666667,3.5
9,Uva,Moneragala,DL1a,DRY ZONE,LOW COUNTRY,Rolling & Undulating,Reddish Brown Earth & Low Humic Gley Soils,1100,"6.6726357, 81.2638860",81.263886,6.6726357,Maha,Bg 352,105,60,Reproductive,Suseptible,Sand mixed clay,Irrigated,Minor irrigation,Lowland,No,Direct seeded,Yes,691,29,30,96.66666667,23.03333333
10,Uva,Moneragala,IL1c,INTERMEDIATE ZONE,LOW COUNTRY,"Rolling, Undulating, Flat","RBL, RBE, LHG, & IBL soils",1300,"6.7176436, 81.2486212",81.2486212,6.7176436,Maha,At 362,110,70,Reproductive,Suseptible,Clay,Irrigated,Major irrigation,Flat land,No,Direct seeded,Yes,357,29,30,96.66666667,11.9
