"Serial_No","AGRO_ECO_R","AGRO_ECO_Z","GPS_location","X","Y","total_gall_count","infected_plant_count","Disease_Incidence","Disease_Severity"
1,"IL1a","LOW COUNTRY","6.0186066, 80.5020940",80.502094,6.0186066,172,12,40,5.733333333
2,"WL2a","LOW COUNTRY","6.0383402, 80.5004911",80.5004911,6.0383402,119,24,80,3.966666667
3,"WL2a","LOW COUNTRY","6.0828524, 80.4680380",80.468038,6.0828524,223,24,80,7.433333333
4,"WL2a","LOW COUNTRY","6.0493301, 80.4421477",80.4421477,6.0493301,462,19,63.33333333,15.4
5,"WL2a","LOW COUNTRY","6.0357062, 80.3103724",80.3103724,6.0357062,18,6,20,0.6
6,"WL2a","LOW COUNTRY","6.0314027, 80.3078521",80.3078521,6.0314027,94,16,53.33333333,3.133333333
7,"WL2a","LOW COUNTRY","6.0306172, 80.3092543",80.3092543,6.0306172,79,7,23.33333333,2.633333333
8,"DL1a","LOW COUNTRY","6.6721315, 81.2634706",81.2634706,6.6721315,105,14,46.66666667,3.5
9,"DL1a","LOW COUNTRY","6.6726357, 81.2638860",81.263886,6.6726357,691,29,96.66666667,23.03333333
10,"IL1c","LOW COUNTRY","6.7176436, 81.2486212",81.2486212,6.7176436,357,29,96.66666667,11.9
11,"IL1c","LOW COUNTRY","6.7180282, 81.2484995",81.2484995,6.7180282,0,0,0,0
12,"IL1a","LOW COUNTRY","7.5173440, 79.9992930",79.999293,7.517344,189,18,60,6.3
13,"IL1a","LOW COUNTRY","7.5128070, 79.9945950",79.994595,7.512807,127,7,23.33333333,4.233333333
14,"IL1c","LOW COUNTRY","7.1169580, 81.2111520",81.211152,7.116958,8,5,16.66666667,0.266666667
15,"IL1c","LOW COUNTRY","7.1215668, 81.2171150",81.217115,7.1215668,3,1,3.333333333,0.1
16,"DL1b","LOW COUNTRY","8.5473940, 80.2541940",80.254194,8.547394,35,13,43.33333333,1.166666667
17,"WL1b","LOW COUNTRY","6.8154630, 80.0414140",80.041414,6.815463,8,3,10,0.266666667
18,"IL1b","LOW COUNTRY","6.1688773, 80.7454867",80.7454867,6.1688773,697,29,96.66666667,23.23333333
19,"IL1a","LOW COUNTRY","7.5107920, 79.9900260",79.990026,7.510792,60,11,36.66666667,2
20,"IL1b","LOW COUNTRY","6.0930510, 80.7729430",80.772943,6.093051,256,25,83.33333333,8.533333333
21,"DL1b","LOW COUNTRY","8.1945360, 80.3734470",80.373447,8.194536,1346,28,93.33333333,44.86666667
22,"WM1a","MID COUNTRY","6.3464640, 80.4988626",80.4988626,6.346464,392,29,96.66666667,13.06666667
22.1,"WL1a","LOW COUNTRY","
6.742031, 80.224686",80.224686,6.742031,186,23,76.66666667,6.2
23,"IM1c","MID COUNTRY","7.0794670, 81.0087850",81.008785,7.079467,220,22,73.33333333,7.333333333
24,"WM3b","MID COUNTRY","7.4943210, 80.4702920",80.470292,7.494321,256,25,83.33333333,8.533333333
25,"DL5","LOW COUNTRY","6.1278909, 81.0132926",81.0132926,6.1278909,692,30,100,23.06666667
26,"DL5","LOW COUNTRY","6.1415522, 81.0005065",81.0005065,6.1415522,230,28,93.33333333,7.666666667
27,"DL5","LOW COUNTRY","6.1415302, 80.9995623",80.9995623,6.1415302,1424,30,100,47.46666667
28,"DL1b","LOW COUNTRY","6.2401358, 80.9181362",80.9181362,6.2401358,86,14,46.66666667,2.866666667
29,"DL1b","LOW COUNTRY","6.2498348, 80.9160316",80.9160316,6.2498348,393,30,100,13.1
30,"DL1b","LOW COUNTRY","6.2818567, 80.8988923",80.8988923,6.2818567,0,0,0,0
31,"WL1b","LOW COUNTRY","6.5993122, 80.0290318",80.0290318,6.5993122,48,14,46.66666667,1.6
32,"WL1b","LOW COUNTRY","6.5983134, 80.0269464",80.0269464,6.5983134,24,11,36.66666667,0.8
32.1,"WM3b","MID COUNTRY","7.3344432, 80.5776951",80.5776951,7.3344432,0,0,0,0
33,"WL1b","LOW COUNTRY","6.5737786, 80.0198111",80.0198111,6.5737786,54,19,63.33333333,1.8
34,"WL1b","LOW COUNTRY","6.5073746, 80.0612006",80.0612006,6.5073746,1,1,3.333333333,0.033333333
35,"WL1b","LOW COUNTRY","6.5260378, 80.0628297",80.0628297,6.5260378,74,23,76.66666667,2.466666667
36,"WL1a","LOW COUNTRY","6.2829588, 80.1538558",80.1538558,6.2829588,18,10,33.33333333,0.6
37,"WL1a","LOW COUNTRY","6.2969053, 80.1718165",80.1718165,6.2969053,39,19,63.33333333,1.3
38,"IL1a","LOW COUNTRY","7.4794100, 80.0439980",80.043998,7.47941,146,16,53.33333333,4.866666667
39.1,"DL1b","LOW COUNTRY","8.6731260, 80.3898640",80.389864,8.673126,0,0,0,0
39.2,"DL1b","LOW COUNTRY","8.6731260, 80.3898640",80.389864,8.673126,0,0,0,0
40,"DL1b","LOW COUNTRY","7.8669827, 80.6503263",80.6503263,7.8669827,29,11,36.66666667,0.966666667
44,"IL1b","LOW COUNTRY","5.9889260, 80.7191397",80.7191397,5.988926,258,30,100,8.6
48,"WL3","LOW COUNTRY","7.0271960, 79.9890870",79.989087,7.027196,336,20,66.66666667,11.2
49,"WL3","LOW COUNTRY","7.0420120, 79.9971190",79.997119,7.042012,4,2,6.666666667,0.133333333
50,"WL3","LOW COUNTRY","7.0160442, 79.9724432",79.9724432,7.0160442,36,15,50,1.2
51,"DL1b","LOW COUNTRY","8.1687027, 80.5419694",80.5419694,8.1687027,186,26,86.66666667,6.2
52,"DL1b","LOW COUNTRY","7.8750342, 79.9918246",79.9918246,7.8750342,0,0,0,0
